<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ЛУКОЙЛ;D;10/06/13;000000;1890;1000061
ЛУКОЙЛ;D;11/06/13;000000;1860;1363817
ЛУКОЙЛ;D;13/06/13;000000;1842.5;1436603
ЛУКОЙЛ;D;14/06/13;000000;1859;1334355
ЛУКОЙЛ;D;17/06/13;000000;1883.7;1684492
ЛУКОЙЛ;D;18/06/13;000000;1891.5;1043300
ЛУКОЙЛ;D;19/06/13;000000;1878.5;866387
ЛУКОЙЛ;D;20/06/13;000000;1865.1;1110321
ЛУКОЙЛ;D;21/06/13;000000;1798.3;1871921
ЛУКОЙЛ;D;24/06/13;000000;1787.9;1360808
ЛУКОЙЛ;D;25/06/13;000000;1815.4;1222430
ЛУКОЙЛ;D;26/06/13;000000;1866.7;1347576
ЛУКОЙЛ;D;27/06/13;000000;1857.9;1042712
ЛУКОЙЛ;D;28/06/13;000000;1890.4;1224509
ЛУКОЙЛ;D;01/07/13;000000;1913.1;709099
ЛУКОЙЛ;D;02/07/13;000000;1914.8;665159
ЛУКОЙЛ;D;03/07/13;000000;1927.6;840200
ЛУКОЙЛ;D;04/07/13;000000;1929.8;412594
ЛУКОЙЛ;D;05/07/13;000000;1914.8;620889
ЛУКОЙЛ;D;08/07/13;000000;1920.9;447476
ЛУКОЙЛ;D;09/07/13;000000;1913.1;494222
ЛУКОЙЛ;D;10/07/13;000000;1894.7;684129
ЛУКОЙЛ;D;11/07/13;000000;1954.5;1303436
ЛУКОЙЛ;D;12/07/13;000000;1989.2;1186136
ЛУКОЙЛ;D;15/07/13;000000;1994;645828
ЛУКОЙЛ;D;16/07/13;000000;1995;1157641
ЛУКОЙЛ;D;17/07/13;000000;1992;1101218
ЛУКОЙЛ;D;18/07/13;000000;2003;1269380
ЛУКОЙЛ;D;19/07/13;000000;2019.6;842723
ЛУКОЙЛ;D;22/07/13;000000;2002.5;589611
ЛУКОЙЛ;D;23/07/13;000000;2016.6;569234
ЛУКОЙЛ;D;24/07/13;000000;2005.3;882024
ЛУКОЙЛ;D;25/07/13;000000;1994.1;935804
ЛУКОЙЛ;D;26/07/13;000000;1987;444003
ЛУКОЙЛ;D;29/07/13;000000;1975.8;452430
ЛУКОЙЛ;D;30/07/13;000000;1974.9;688158
ЛУКОЙЛ;D;31/07/13;000000;1950;728342
ЛУКОЙЛ;D;01/08/13;000000;1966.2;1237393
ЛУКОЙЛ;D;02/08/13;000000;1957.1;600624
ЛУКОЙЛ;D;05/08/13;000000;1958.9;538077
ЛУКОЙЛ;D;06/08/13;000000;1901;1063388
ЛУКОЙЛ;D;07/08/13;000000;1906.8;625882
ЛУКОЙЛ;D;08/08/13;000000;1903.6;1451344
ЛУКОЙЛ;D;09/08/13;000000;1922;1157861
ЛУКОЙЛ;D;12/08/13;000000;1921.9;947942
ЛУКОЙЛ;D;13/08/13;000000;1950;1090362
ЛУКОЙЛ;D;14/08/13;000000;1980;1078463
ЛУКОЙЛ;D;15/08/13;000000;1944.1;1269259
ЛУКОЙЛ;D;16/08/13;000000;1917.5;1107553
