<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Сбербанк;D;07/03/13;000000;105.31;46280380
Сбербанк;D;11/03/13;000000;106.78;80720440
Сбербанк;D;12/03/13;000000;106.07;58453010
Сбербанк;D;13/03/13;000000;104.43;69928090
Сбербанк;D;14/03/13;000000;104.81;70817130
Сбербанк;D;15/03/13;000000;104.42;66847700
Сбербанк;D;18/03/13;000000;100.46;139264040
Сбербанк;D;19/03/13;000000;99.72;112775060
Сбербанк;D;20/03/13;000000;102.38;126361810
Сбербанк;D;21/03/13;000000;101.7;83767320
Сбербанк;D;22/03/13;000000;99.37;97056470
Сбербанк;D;25/03/13;000000;98.7;83351250
Сбербанк;D;26/03/13;000000;97.11;119768650
Сбербанк;D;27/03/13;000000;96.87;125873080
Сбербанк;D;28/03/13;000000;98.6;123599190
Сбербанк;D;29/03/13;000000;98.86;25099990
Сбербанк;D;01/04/13;000000;98.03;40317820
Сбербанк;D;02/04/13;000000;99.12;82899440
Сбербанк;D;03/04/13;000000;99.46;66440260
Сбербанк;D;04/04/13;000000;99.93;96675530
Сбербанк;D;05/04/13;000000;99.26;69637880
Сбербанк;D;08/04/13;000000;100.47;53432410
Сбербанк;D;09/04/13;000000;102.5;67455290
Сбербанк;D;10/04/13;000000;103.37;76389700
Сбербанк;D;11/04/13;000000;102.4;63127020
Сбербанк;D;12/04/13;000000;98.36;63452680
Сбербанк;D;15/04/13;000000;95.62;91872480
Сбербанк;D;16/04/13;000000;95.82;79114270
Сбербанк;D;17/04/13;000000;94.46;77193560
Сбербанк;D;18/04/13;000000;95.44;73686310
Сбербанк;D;19/04/13;000000;96.4;64959290
Сбербанк;D;22/04/13;000000;95.05;62363220
Сбербанк;D;23/04/13;000000;96.52;73617450
Сбербанк;D;24/04/13;000000;97.96;90585880
Сбербанк;D;25/04/13;000000;96.47;91998510
Сбербанк;D;26/04/13;000000;95.8;59957310
Сбербанк;D;29/04/13;000000;94.66;40530500
Сбербанк;D;30/04/13;000000;99.11;90607000
Сбербанк;D;02/05/13;000000;100.86;49345740
Сбербанк;D;03/05/13;000000;103;52655330
Сбербанк;D;06/05/13;000000;102.49;51588540
Сбербанк;D;07/05/13;000000;105.23;104996430
Сбербанк;D;08/05/13;000000;105.76;60044960
Сбербанк;D;10/05/13;000000;103.57;32329670
Сбербанк;D;13/05/13;000000;103.22;84124260
Сбербанк;D;14/05/13;000000;103.95;59642740
Сбербанк;D;15/05/13;000000;103.12;63053590
Сбербанк;D;16/05/13;000000;102.37;55045550
Сбербанк;D;17/05/13;000000;105.19;74455950
Сбербанк;D;20/05/13;000000;106.65;76237300
Сбербанк;D;21/05/13;000000;108.86;77406660
Сбербанк;D;22/05/13;000000;110.74;106411260
Сбербанк;D;23/05/13;000000;105.55;94219990
Сбербанк;D;24/05/13;000000;103.08;108569620
Сбербанк;D;27/05/13;000000;102.87;47531440
Сбербанк;D;28/05/13;000000;104.1;66309630
Сбербанк;D;29/05/13;000000;99.96;84541590
Сбербанк;D;30/05/13;000000;100.07;79554460
Сбербанк;D;31/05/13;000000;99.05;86352420
Сбербанк;D;03/06/13;000000;98.7;102246100
Сбербанк;D;04/06/13;000000;98.79;79724570
Сбербанк;D;05/06/13;000000;97.5;80543680
Сбербанк;D;06/06/13;000000;96.8;65827520
Сбербанк;D;07/06/13;000000;99.2;79913150
Сбербанк;D;10/06/13;000000;97.8;68514380
Сбербанк;D;11/06/13;000000;94.66;96754930
Сбербанк;D;13/06/13;000000;91.77;119335820
Сбербанк;D;14/06/13;000000;93.7;88549740
Сбербанк;D;17/06/13;000000;95.64;79176990
Сбербанк;D;18/06/13;000000;96.37;63808010
Сбербанк;D;19/06/13;000000;94.57;63191980
Сбербанк;D;20/06/13;000000;91.3;103325670
Сбербанк;D;21/06/13;000000;91.5;79972720
Сбербанк;D;24/06/13;000000;88.88;91754450
Сбербанк;D;25/06/13;000000;89.57;88493130
Сбербанк;D;26/06/13;000000;92.51;94537680
Сбербанк;D;27/06/13;000000;93.24;76612830
Сбербанк;D;28/06/13;000000;93.68;81701190
Сбербанк;D;01/07/13;000000;95.42;66466070
Сбербанк;D;02/07/13;000000;94.8;55404680
Сбербанк;D;03/07/13;000000;93.04;55720100
Сбербанк;D;04/07/13;000000;93.95;58629700
Сбербанк;D;05/07/13;000000;93.2;69156910
Сбербанк;D;08/07/13;000000;92.84;53667990
Сбербанк;D;09/07/13;000000;92.39;48534400
Сбербанк;D;10/07/13;000000;91.14;51969480
Сбербанк;D;11/07/13;000000;95.51;112549270
Сбербанк;D;12/07/13;000000;98.57;119862270
Сбербанк;D;15/07/13;000000;99.9;105744860
Сбербанк;D;16/07/13;000000;99.47;90129290
Сбербанк;D;17/07/13;000000;101.15;71793100
Сбербанк;D;18/07/13;000000;98.39;97311180
Сбербанк;D;19/07/13;000000;99.99;83914140
Сбербанк;D;22/07/13;000000;97.77;73008260
Сбербанк;D;23/07/13;000000;96.85;75228480
Сбербанк;D;24/07/13;000000;96.46;98477810
Сбербанк;D;25/07/13;000000;95.77;85607870
Сбербанк;D;26/07/13;000000;94.81;80184350
Сбербанк;D;29/07/13;000000;94.28;45758900
Сбербанк;D;30/07/13;000000;94.06;57792160
Сбербанк;D;31/07/13;000000;95.23;64128810
Сбербанк;D;01/08/13;000000;96.84;56403880
Сбербанк;D;02/08/13;000000;96.99;63981400
Сбербанк;D;05/08/13;000000;96.22;39862480
Сбербанк;D;06/08/13;000000;94.71;40542700
Сбербанк;D;07/08/13;000000;94.41;52969490
Сбербанк;D;08/08/13;000000;94.02;53362390
Сбербанк;D;09/08/13;000000;95.7;59579140
Сбербанк;D;12/08/13;000000;96.24;50570300
Сбербанк;D;13/08/13;000000;97.39;66260480
Сбербанк;D;14/08/13;000000;98;55342200
Сбербанк;D;15/08/13;000000;95.42;65753530
Сбербанк;D;16/08/13;000000;93.8;77257220
Сбербанк;D;19/08/13;000000;93.6;65107260
Сбербанк;D;20/08/13;000000;91.75;86553620
Сбербанк;D;21/08/13;000000;90.63;102752580
Сбербанк;D;22/08/13;000000;92.08;88208630
Сбербанк;D;23/08/13;000000;91.91;57170500
Сбербанк;D;26/08/13;000000;91.29;38701780
Сбербанк;D;27/08/13;000000;90.06;75396180
Сбербанк;D;28/08/13;000000;89.39;89337010
Сбербанк;D;29/08/13;000000;89.82;61758140
Сбербанк;D;30/08/13;000000;88.23;67274570
Сбербанк;D;02/09/13;000000;89.48;46206200
Сбербанк;D;03/09/13;000000;90.45;87953920
Сбербанк;D;04/09/13;000000;90.33;52920680
Сбербанк;D;05/09/13;000000;92.78;113375290
Сбербанк;D;06/09/13;000000;92.47;167514290
Сбербанк;D;09/09/13;000000;94.81;127372070
Сбербанк;D;10/09/13;000000;96.55;118417470
Сбербанк;D;11/09/13;000000;95.5;68867470
Сбербанк;D;12/09/13;000000;95.53;80569980
Сбербанк;D;13/09/13;000000;95.82;57993190
Сбербанк;D;16/09/13;000000;98.97;112092070
Сбербанк;D;17/09/13;000000;99.6;69417120
Сбербанк;D;18/09/13;000000;99.79;109579560
Сбербанк;D;19/09/13;000000;102.33;160727340
Сбербанк;D;20/09/13;000000;102.36;80174540
Сбербанк;D;23/09/13;000000;101.82;79846990
Сбербанк;D;24/09/13;000000;100.5;81642090
Сбербанк;D;25/09/13;000000;101.95;76053110
Сбербанк;D;26/09/13;000000;101.67;74163010
Сбербанк;D;27/09/13;000000;98.59;90396330
Сбербанк;D;30/09/13;000000;97.86;71124930
Сбербанк;D;01/10/13;000000;99.16;74492480
Сбербанк;D;02/10/13;000000;97.74;79877890
Сбербанк;D;03/10/13;000000;98.24;77836460
Сбербанк;D;04/10/13;000000;100.39;81230790
Сбербанк;D;07/10/13;000000;100.3;84643630
Сбербанк;D;08/10/13;000000;102.11;113584170
Сбербанк;D;09/10/13;000000;101.48;99305220
Сбербанк;D;10/10/13;000000;103.43;111791100
Сбербанк;D;11/10/13;000000;102.87;91915670
Сбербанк;D;14/10/13;000000;102.93;66291240
Сбербанк;D;15/10/13;000000;104.55;103099720
Сбербанк;D;16/10/13;000000;104.05;84614620
Сбербанк;D;17/10/13;000000;103.33;83012030
Сбербанк;D;18/10/13;000000;105.14;115501360
Сбербанк;D;21/10/13;000000;105.43;63746540
Сбербанк;D;22/10/13;000000;105.4;71694660
Сбербанк;D;23/10/13;000000;103.29;78066510
Сбербанк;D;24/10/13;000000;102.86;68751720
Сбербанк;D;25/10/13;000000;102.99;78521210
Сбербанк;D;28/10/13;000000;102.84;71025060
Сбербанк;D;29/10/13;000000;102.8;65077430
Сбербанк;D;30/10/13;000000;103.11;82968330
Сбербанк;D;31/10/13;000000;102.74;87954830
Сбербанк;D;01/11/13;000000;103.65;62858850
Сбербанк;D;05/11/13;000000;102.47;61356730
Сбербанк;D;06/11/13;000000;102.59;66133090
Сбербанк;D;07/11/13;000000;103.55;76238840
Сбербанк;D;08/11/13;000000;101.86;89014360
Сбербанк;D;11/11/13;000000;101.77;53096350
Сбербанк;D;12/11/13;000000;104.25;112492620
Сбербанк;D;13/11/13;000000;101.81;135946290
Сбербанк;D;14/11/13;000000;103.7;93686490
Сбербанк;D;15/11/13;000000;103.69;96819500
Сбербанк;D;18/11/13;000000;105.5;92184970
Сбербанк;D;19/11/13;000000;106.19;100547410
Сбербанк;D;20/11/13;000000;106;79936140
Сбербанк;D;21/11/13;000000;104.78;77524160
Сбербанк;D;22/11/13;000000;105.1;70239230
Сбербанк;D;25/11/13;000000;105.31;72178650
Сбербанк;D;26/11/13;000000;103.02;93845310
Сбербанк;D;27/11/13;000000;102.77;80453800
Сбербанк;D;28/11/13;000000;102.69;64879430
